name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
HoChiMinh,2015-10-27,34.0,24.4,29.2,38.3,24.4,31.7,22.7,70.1,0.5,100,8.33,rain,0,0,38.9,16.2,93.4,1010.7,44.5,8.6,248.2,21.4,9,,2015-10-27T05:43:20,2015-10-27T17:30:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-28,34.0,25.0,29.3,37.3,25.0,31.9,22.6,68.8,0.2,100,8.33,rain,0,0,35.3,17.3,95.0,1011.5,42.5,9.8,226.3,19.5,8,,2015-10-28T05:43:31,2015-10-28T17:30:20,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-29,35.0,24.6,29.7,37.6,24.6,32.1,21.8,64.8,0.2,100,8.33,rain,0,0,23.8,13.4,88.0,1011.8,46.1,9.8,241.9,21.0,8,,2015-10-29T05:43:42,2015-10-29T17:29:59,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-10-30,33.7,26.0,29.3,39.9,26.0,33.5,24.2,75.2,0.1,100,4.17,rain,0,0,27.0,10.8,92.3,1011.4,40.9,14.1,251.2,21.6,9,,2015-10-30T05:43:53,2015-10-30T17:29:40,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS,remote"
HoChiMinh,2015-10-31,33.2,25.2,29.0,39.4,25.2,33.0,24.4,77.4,0.3,100,8.33,rain,0,0,32.0,18.0,91.1,1012.2,58.9,20.0,247.7,21.4,8,,2015-10-31T05:44:06,2015-10-31T17:29:21,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,remote"
HoChiMinh,2015-11-01,32.6,25.8,28.0,39.0,25.8,31.4,24.8,83.4,15.0,100,4.17,rain,0,0,33.1,8.6,51.5,1012.2,82.5,20.0,198.0,17.2,8,,2015-11-01T05:44:19,2015-11-01T17:29:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,remote"
HoChiMinh,2015-11-02,33.1,24.1,27.4,38.7,24.1,28.9,23.8,82.8,18.0,100,4.17,rain,0,0,37.8,20.5,349.0,1011.5,70.0,11.9,208.3,18.0,8,,2015-11-02T05:44:33,2015-11-02T17:28:46,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,remote"
HoChiMinh,2015-11-03,33.0,25.1,27.3,38.9,25.1,29.4,23.7,81.7,12.1,100,33.33,rain,0,0,26.6,16.6,352.7,1010.5,62.1,9.2,205.2,17.8,8,,2015-11-03T05:44:47,2015-11-03T17:28:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS,remote"
HoChiMinh,2015-11-04,31.1,24.1,27.6,35.6,24.1,29.8,23.2,78.1,1.3,100,8.33,rain,0,0,28.1,18.4,68.4,1009.4,69.5,8.6,187.2,16.1,7,,2015-11-04T05:45:02,2015-11-04T17:28:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS,remote"
HoChiMinh,2015-11-05,31.0,23.4,26.3,35.3,23.4,27.5,23.3,84.3,0.3,100,4.17,rain,0,0,44.6,12.0,43.0,1008.9,82.5,9.0,110.5,9.6,4,,2015-11-05T05:45:18,2015-11-05T17:28:02,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-06,31.6,25.0,28.1,37.3,25.0,31.0,23.7,77.7,13.9,100,50.0,rain,0,0,30.6,18.9,118.2,1009.1,55.9,10.3,153.8,13.3,6,,2015-11-06T05:45:34,2015-11-06T17:27:49,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-07,32.6,25.0,28.8,37.5,25.0,32.0,23.4,73.7,3.3,100,20.83,rain,0,0,28.4,13.0,125.5,1010.7,46.7,10.1,211.7,18.4,8,,2015-11-07T05:45:51,2015-11-07T17:27:37,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-08,32.0,25.0,27.9,36.8,25.0,30.4,23.4,77.4,1.4,100,4.17,rain,0,0,50.0,14.7,82.4,1011.5,59.6,10.0,162.1,14.0,7,,2015-11-08T05:46:09,2015-11-08T17:27:26,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-09,33.0,25.0,28.6,38.9,25.0,31.5,23.5,75.2,1.0,100,16.67,rain,0,0,40.7,16.2,104.7,1010.2,47.9,9.0,210.4,18.0,8,,2015-11-09T05:46:27,2015-11-09T17:27:16,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-10,33.6,25.0,29.2,37.0,25.0,31.7,22.7,70.0,1.8,100,16.67,rain,0,0,30.2,12.6,118.1,1009.1,48.9,9.6,215.1,18.6,8,,2015-11-10T05:46:46,2015-11-10T17:27:08,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-11,33.3,26.0,29.0,37.5,26.0,32.2,23.2,71.9,0.1,100,4.17,rain,0,0,35.3,14.0,95.8,1009.6,46.6,9.2,205.6,17.7,8,,2015-11-11T05:47:06,2015-11-11T17:27:00,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-12,33.0,26.4,29.1,38.1,26.4,32.7,23.1,70.9,2.8,100,8.33,rain,0,0,40.3,22.7,101.3,1011.0,41.6,10.2,222.6,19.2,8,,2015-11-12T05:47:27,2015-11-12T17:26:53,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-13,33.4,25.0,29.1,38.1,25.0,32.0,22.9,70.4,0.7,100,20.83,rain,0,0,38.9,20.9,102.1,1010.7,37.1,10.1,212.2,18.2,7,,2015-11-13T05:47:48,2015-11-13T17:26:48,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-14,34.0,26.4,29.2,38.7,26.4,32.6,23.0,70.0,0.5,100,16.67,rain,0,0,27.4,18.4,107.9,1009.6,50.8,10.1,228.6,19.4,8,,2015-11-14T05:48:09,2015-11-14T17:26:43,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-15,33.9,25.0,29.4,37.4,25.0,32.2,22.4,67.7,0.4,100,16.67,rain,0,0,29.5,16.6,92.9,1009.5,35.6,10.0,218.0,18.9,8,,2015-11-15T05:48:32,2015-11-15T17:26:40,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-16,34.3,25.4,29.5,37.8,25.4,32.4,22.4,66.8,0.5,100,16.67,rain,0,0,35.3,16.2,105.5,1009.4,42.6,10.1,217.4,18.7,8,,2015-11-16T05:48:55,2015-11-16T17:26:38,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-17,34.6,26.4,29.6,39.4,26.4,33.1,22.8,67.7,0.1,100,4.17,rain,0,0,22.0,16.7,101.5,1009.9,35.7,10.3,227.7,19.6,8,,2015-11-17T05:49:18,2015-11-17T17:26:37,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-18,34.0,26.0,29.6,37.9,26.0,32.7,22.5,67.0,0.3,100,12.5,rain,0,0,33.5,19.6,98.3,1010.4,43.2,10.3,212.4,18.3,7,,2015-11-18T05:49:42,2015-11-18T17:26:36,0.23,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-19,35.0,25.4,29.9,36.9,25.4,32.4,21.8,63.9,0.2,100,8.33,rain,0,0,33.5,17.6,83.4,1009.7,37.9,9.7,224.2,19.4,8,,2015-11-19T05:50:07,2015-11-19T17:26:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-20,35.0,25.0,29.6,36.6,25.0,31.3,21.1,62.7,0.0,0,0.0,,0,0,36.7,17.4,98.0,1009.3,31.8,10.2,232.9,20.1,8,,2015-11-20T05:50:32,2015-11-20T17:26:40,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-21,34.0,25.9,29.0,37.0,25.9,31.2,21.7,65.7,1.1,100,12.5,rain,0,0,30.6,21.2,88.9,1008.8,48.6,10.1,201.9,17.4,8,,2015-11-21T05:50:58,2015-11-21T17:26:43,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-22,33.0,24.7,27.2,36.1,24.7,28.4,22.5,77.1,2.0,100,4.17,rain,0,0,36.0,16.8,77.0,1009.1,64.5,9.2,148.9,12.7,6,,2015-11-22T05:51:25,2015-11-22T17:26:47,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-23,33.6,24.0,28.6,37.5,24.0,31.2,22.9,73.7,1.2,100,20.83,rain,0,0,29.5,12.2,102.6,1009.1,43.9,9.6,225.2,19.5,8,,2015-11-23T05:51:52,2015-11-23T17:26:52,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-24,33.0,25.6,28.5,38.0,25.6,31.2,23.3,74.6,0.1,100,4.17,rain,0,0,20.5,15.2,225.1,1008.7,63.1,9.4,217.2,18.8,8,,2015-11-24T05:52:19,2015-11-24T17:26:59,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-25,32.9,25.0,28.2,39.2,25.0,31.4,24.0,78.9,2.1,100,8.33,rain,0,0,27.4,12.9,353.8,1009.2,74.3,8.9,219.8,18.8,8,,2015-11-25T05:52:47,2015-11-25T17:27:06,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-26,32.4,25.0,28.5,37.4,25.0,31.1,23.0,73.2,0.0,0,0.0,,0,0,24.1,13.0,153.4,1009.2,48.3,9.1,217.1,18.9,8,,2015-11-26T05:53:15,2015-11-26T17:27:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-27,32.0,24.4,28.3,34.9,24.4,29.9,21.2,66.7,0.1,100,4.17,rain,0,0,22.7,9.9,273.6,1009.8,49.6,9.4,218.8,19.0,8,,2015-11-27T05:53:44,2015-11-27T17:27:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-28,31.9,26.0,28.7,36.7,26.0,31.5,22.9,71.9,1.0,100,8.33,rain,0,0,38.2,13.0,98.2,1011.9,56.3,8.8,187.5,16.2,7,,2015-11-28T05:54:13,2015-11-28T17:27:35,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-29,33.6,26.0,28.8,38.4,26.0,31.7,23.0,71.9,2.4,100,20.83,rain,0,0,41.4,13.0,78.4,1012.1,56.0,9.7,212.2,18.2,8,,2015-11-29T05:54:43,2015-11-29T17:27:47,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-11-30,34.0,25.0,28.8,38.3,25.0,31.2,23.0,72.8,0.1,100,4.17,rain,0,0,33.8,16.0,83.3,1011.2,44.3,9.6,202.3,17.5,8,,2015-11-30T05:55:13,2015-11-30T17:27:59,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-01,33.4,26.0,28.7,40.6,26.0,31.6,23.1,72.3,0.3,100,8.33,rain,0,0,32.8,16.2,78.0,1010.9,53.8,10.0,215.8,18.5,8,,2015-12-01T05:55:43,2015-12-01T17:28:13,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-02,34.0,24.5,28.6,38.7,24.5,31.5,23.2,74.1,0.3,100,12.5,rain,0,0,21.6,18.2,7.1,1011.2,42.3,8.4,220.9,19.3,8,,2015-12-02T05:56:14,2015-12-02T17:28:27,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-03,34.0,26.0,29.6,37.9,26.0,32.5,22.4,66.7,1.6,100,12.5,rain,0,0,37.1,15.5,109.1,1010.8,40.2,9.5,209.4,17.9,8,,2015-12-03T05:56:44,2015-12-03T17:28:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-04,33.4,25.0,29.1,36.6,25.0,31.1,21.5,65.1,0.0,0,0.0,,0,0,38.9,19.6,92.3,1011.0,38.0,9.9,223.9,19.3,8,,2015-12-04T05:57:15,2015-12-04T17:29:00,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-05,32.6,24.0,28.4,36.5,24.0,30.6,22.1,69.8,2.8,100,12.5,rain,0,0,30.6,10.1,42.1,1010.9,38.8,9.6,219.0,19.0,7,,2015-12-05T05:57:47,2015-12-05T17:29:17,0.8,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-06,34.4,26.0,29.3,38.0,26.0,32.1,22.4,67.4,0.6,100,8.33,rain,0,0,29.9,13.7,112.2,1010.9,42.2,9.8,222.2,19.3,8,,2015-12-06T05:58:18,2015-12-06T17:29:36,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-07,33.6,24.4,28.7,37.3,24.4,31.1,22.0,67.8,5.1,100,8.33,rain,0,0,33.1,11.5,51.6,1011.5,56.4,9.8,187.7,16.0,7,,2015-12-07T05:58:50,2015-12-07T17:29:55,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-08,34.0,24.4,28.9,38.3,24.4,31.3,21.8,66.7,0.4,100,12.5,rain,0,0,30.2,12.4,49.6,1010.9,44.7,10.1,217.0,18.8,8,,2015-12-08T05:59:22,2015-12-08T17:30:15,0.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-09,34.0,25.0,29.2,38.7,25.0,32.2,23.1,70.9,0.3,100,8.33,rain,0,0,40.7,14.7,167.6,1011.2,53.7,9.5,204.9,17.6,7,,2015-12-09T05:59:54,2015-12-09T17:30:36,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
HoChiMinh,2015-12-10,33.0,27.0,29.5,37.6,29.6,33.4,23.2,69.3,1.2,100,33.33,rain,0,0,21.2,16.9,140.2,1010.7,44.0,10.3,205.0,17.7,7,,2015-12-10T06:00:26,2015-12-10T17:30:58,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999,48900099999,VVTS"
